X1,X2,X4,X5,X6,X12,X15,X16,X17,X18,X21,X22,X24,X25,X26,X27,X29,X31,X34,X35,X36,X37,X38,X40,X41,X42,X45,X46,X47,X48,X52,X58,X59,X61,X66,X64,X65
0.1112,0.65067,2.4154,178.46,0.32096,0.59189,1618.4,0.22553,1.5369,0.11196,1.1594,0.10821,0.32176,0.3458,0.22437,2.2998,4.8469,0.19424,0.1663,0.10821,0.59751,0.87943,0.80732,1.8235,0.1496,0.18773,2.1799,2.1457,39.573,0.073423,0.402,0.81632,1.3346,9.4572,119.78,1.0613,0
0.28293,0.13917,4.0983,23.473,0.59655,2.033,152.16,2.3987,7.1855,0.28293,1.0843,0.30433,0.59655,0.82008,2.3987,1.5289,4.6308,0.12739,2.1868,0.30433,2.3119,3.4383,0.82008,0.36601,0.01288,0.13702,0.9285,1.9087,55.877,0.25343,0.069917,0.89621,0.0,10.345,22.871,5.1695,0
0.002669,0.8999,0.9686,-109.79,0.039858,0.007299,16400.0,0.022256,1.1112,0.005776,1.1443,0.019149,0.049649,0.07764,0.018804,0.1673,4.5015,0.004936,0.021279,0.019149,1.1805,4.25,0.18616,0.049561,0.88575,0.016365,0.008742,0.5828,97.362,0.004897,0.6914,0.97819,1.3977,2.7728,246.86,5.0119,0
-0.031577,0.56078,1.3111,-37.099,0.066557,-0.005444,5810.3,0.062819,1.7832,-0.003017,1.4442,0.016753,0.12298,0.4348,0.011892,0.076755,4.5208,-0.001341,0.029874,0.016753,2.2647,94.43,0.44137,0.65533,0.33522,0.007443,-0.29544,1.1182,17.873,-0.021492,0.25392,0.96975,0.015095,8.7728,89.877,8.2335,0
0.090542,0.65291,0.70169,-31.255,0.0,0.22593,1453.2,0.25117,1.5316,0.11457,1.1369,0.13492,0.22908,0.33158,0.21436,6.3925,3.5093,0.045927,3.9294,0.13946,2.705,2.0718,0.49288,0.026385,0.11806,0.049879,1.6833,0.59563,7.6524,0.085507,0.19767,0.95792,0.42003,9.3704,68.428,4.1993,0
0.21146,0.4388,1.8063,12.887,0.0,0.59952,593.41,0.61509,2.2789,0.26299,1.4475,0.25116,0.46755,0.556,0.49764,8974.9,3.9828,0.17356,2.8816,0.25102,1.5155,3.4383,0.5612,0.12558,0.056678,0.16573,0.68667,1.1043,88.892,0.24425,0.34693,0.82779,0.0,3.5298,105.65,7.2988,0
0.45465,0.17998,5.6638,197.22,0.0,3.748,131.88,2.7678,5.5561,0.45465,1.1891,0.45963,0.863,0.45465,2.7678,63.983,3.8697,0.36523,4.4816,0.45723,1.2638,27.879,0.70453,0.13328,0.011924,0.36368,3.1648,4.4795,65.008,0.41613,0.15039,0.64726,0.028451,2.3972,35.033,4.0383,0
0.17651,0.78439,0.69972,-98.676,0.030427,0.25816,1189.8,0.30678,1.2749,0.17651,1.0297,0.20497,0.35269,0.09627,0.30678,5.5565,4.0873,0.10391,2.1619,0.20244,1.9092,2.8732,0.29879,0.012681,0.097163,0.109,0.73727,0.34956,51.529,0.14085,0.40317,0.80803,0.38581,8.1644,132.71,3.6053,1
0.15527,0.43534,1.1864,-11.544,-0.000182,0.45854,1023.3,0.35668,2.2971,0.15527,10.369249164322722,0.0,0.15527,0.55332,0.35668,0.0,3.6442,0.1552,3.8444,0.018883,2.2743,4.0803,0.63639,0.20703,0.088642,0.0,1.4235,0.8643,23.789,0.0,0.20233,0.74096,0.12703,10.219,54.345,3.8016,0
0.29997,0.37747,2.5867,49.826,0.0,0.99241,351.77,1.0376,2.6492,0.37461,1.2545,0.37425,0.61708,0.60588,0.83986,148.75,3.4776,0.13701,6.2714,0.38268,2.75,3.4383,0.62253,0.52789,0.032155,0.13609,1.1088,1.87,41.711,0.35719,0.15945,0.86412,0.0,5.4281,50.101,116.61,0
0.046422,0.90977,0.78815,-5922.1,0.006325,0.068222,2945.0,0.12394,1.0992,0.061228,10.369249164322722,0.065269,0.061228,0.052748,0.10767,5.6629,3.2391,0.020515,3.2134,0.06926,2.9846,3.4383,0.090233,0.032821,0.25964,0.021869,0.59943,0.70186,9.6691,0.01374,0.307,0.98337,0.0,4.9706,109.76,10.199,0
-0.09244,0.73948,0.29642,345.97,0.0,-0.4902,-80806.0,-0.004517,1.3523,-0.09244,10.369249164322722,-0.060961,-0.09244,-0.07189,-0.004517,-1.9365,3.8072,-0.030533,2.8734,-0.085508,2.0182,0.10597,0.58678,0.001058,0.87598,-0.030206,-4.3349,0.18334,3.6632,-0.15006,0.088749,1.0684,1.2524,58.714,34.105,2.1377,0
0.072271,0.76033,0.88213,-851.45,0.0,0.20811,3047.4,0.11977,1.3152,0.091068,1.2528,0.10244,0.14649,0.20717,0.095053,8.9842,4.2875,0.066806,1.493,0.080676,1.5338,2.3929,0.32794,0.012545,0.24742,0.066784,0.41345,0.48267,56.204,0.10244,0.38548,0.74754,0.36828,7.4559,104.13,2.4982,0
0.022707,0.59855,0.65004,-55.488,0.022707,0.052918,2994.1,0.1219,1.6707,0.023087,0.89574,0.042012,0.023087,0.3991,0.12127,1.2864499999999999,4.6937,0.012091,0.070189,0.042012,1.9662,0.96897,0.56137,0.027448,0.21415,0.022002,0.17969,0.36039,24.135,-0.007867,0.22829,1.0009,0.40658,13.145,83.398,2.6653,1
0.12173,0.30064,2.1036,21.933,0.27026,0.58687,511.18,0.71403,3.3262,0.15309,0.80002,0.14831,0.33877,0.56937,0.60972,0.58362,4.7186,0.05714,0.49332,0.14831,2.7108,12.818,0.60915,0.74293,0.047092,0.055357,3.1383,1.9549,5.5712,0.086737,0.10265,0.9485,0.069871,8.4747,35.538,5.9371,0
0.085527,0.43084,1.7518,-12.271,0.0,0.25755,1155.7,0.31583,2.321,0.10747,1.1061,0.10282,0.16447,0.50721,0.2649,21.178,4.1992,0.058242,4.2759,0.08607,1.9283,3.4383,0.56916,0.18884,0.10928,0.05332,0.22962,0.85922,73.797,0.074215,0.2265,0.94573,0.0,6.8934,78.984,7.1687,0
0.15209,0.7463,1.1936,-11.427,0.0,0.23896,1323.9,0.2757,1.3399,0.17753,1.1224,0.19633,0.03273,0.1908,0.24162,10.31,3.8487,0.052305,4.7205,0.19322,3.7161,187.57,0.25707,0.018366,0.11078,0.052833,0.59706,0.85069,26.393,0.16811,0.21089,0.95262,0.013281,6.0096,72.971,32.81,0
0.013452,0.54592,1.327,-0.061398,0.085615,0.037694,1609.7,0.22674,1.8318,0.020578,1.0177,0.025467,0.10587,0.39556,0.21369,0.12674,4.3198,0.010391,0.04665,0.025467,2.0422,3.4383,0.39556,0.25564,0.13949,0.01286,0.08375,1.0328,29.176,-0.07774,0.27168,1.0147,0.0,4.6677,100.62,7.1871,0
0.128,0.72695,1.1633,-9.0739,0.02062,0.2196,1358.9,0.26859,1.3756,0.15964,1.1383,0.15547,0.25887,0.27048,0.22507,47.556,4.2893,0.13256,1.4729,0.15781,1.2285,3.4383,0.27305,0.057725,0.12681,0.12655,0.89634,0.96691,48.679,0.11985,0.67894,0.87088,0.0,1.8588,215.98,7.9619,0
0.046293,0.34506,2.1012,-0.24348,0.42688,0.16432,1166.3,0.31295,2.8981,0.056701,0.7531,0.060841,0.17069,0.6461,0.28279,7.1084,3.7522,0.043455,3.5943,0.064603,1.3048,3.4383,0.65494,0.024049,0.10258,0.046628,0.1227,1.0078,111.04,0.009556,0.27822,0.95679,0.0,3.8438,96.522,4.7456,0
0.10549,0.28328,1.4113,-9.2579,0.29636,0.39571,556.27,0.65616,3.5301,0.11185,1.0847,0.10964,0.35321,0.70372,0.6337,0.51515,5.3662,0.049885,0.38705,0.10964,2.2493,378.69,0.70434,0.10458,0.050706,0.048901,0.6512,0.83815,27.779,0.035617,0.1328,0.94927,0.000889,10.814,46.013,3.7301,0
0.07147,0.46004,0.91053,-58.077,0.0,0.36896,847.31,0.43077,2.1737,0.088997,1.5569,0.093364,0.1346,0.13282,0.39267,4.6513,4.6354,0.09343,2.4019,0.061258,1.1662,0.58627,0.68018,0.042809,0.075712,0.080057,0.52006,0.34081,45.396,-0.015812,0.2183,0.92696,0.25969,16.224,75.495,1.4944,0
-0.036542,1.0077,0.51913,-174.45,-0.10725,-0.047076,18352.0,0.019888,0.99233,-0.036542,3.2855,-0.030296,-0.10725,-0.040162,0.019888,-0.24492,4.7576,-0.029855,-0.030063,-0.030296,1.2601,0.97023,0.19134,0.050872,1.2603,-0.024752,-0.20489,0.28936,52.628,-0.08688,0.62754,1.0106,-5.7642,6.6118,231.48,2.0501,0
0.20656,0.21298,4.68,125.73,-0.034765,0.99595,356.4,1.0241,4.6952,0.20656,10.369249164322722,0.20637,0.20656,0.1718,1.0241,21.161,3.5322,0.10693,8.0827,0.21028,1.9318,3.4383,0.78702,2.3496,0.032577,0.10683,1.252,3.8845,34.982,0.19481,0.12048,0.89379,0.0,6.0681,39.188,65.819,0
0.20197,0.44965,2.5703,23.344,0.017114,1.2649,590.98,0.61762,2.224,0.25872,10.369249164322722,0.2587,0.25872,0.45024,0.49141,1.2864499999999999,3.3217,0.085636,6.1746,0.24474,3.0211,1.6683,0.79206,1.0134,0.053974,0.085631,1.649,1.9715,16.102,0.23971,0.073669,0.91516,0.43918,15.416,24.711,6.3699,0
0.16123,0.057731,12.026,179.75,0.53186,3.4622,89.688,4.0697,17.322,0.19988,0.77718,0.19744,0.62737,0.92787,3.4003,1.8011,3.99,0.15484,3.42,0.19744,1.3084,3.4383,0.92787,6.6621,0.008163,0.15296,1.5315,10.202,35.054,0.16237,0.052664,0.84924,0.0,6.3163,16.324,4.2218,0
0.066667,0.62112,1.8662,30.929,0.0,0.18852,1957.5,0.18646,1.61,0.072086,0.78488,0.034298,0.10776,0.28941,0.17774,2.2699,3.5255,0.042121,2.837,-0.020893,1.7413,6.3471,0.46246,0.66852,0.26534,0.019697,0.36413,1.3874,37.923,-0.009432,0.217,0.96253,0.22061,6.3347,80.155,6.0796,0
0.047098,0.59853,1.1532,-33.568,0.26043,0.082918,2241.7,0.16283,1.6708,0.047098,1.2218,0.055847,0.26043,0.38106,0.16283,0.26691,4.3961,0.022145,0.093307,0.055847,2.1536,12.476,0.41157,0.01973,0.18528,0.026259,0.17168,0.67025,47.856,0.005489,0.27147,0.9838,0.080082,5.7559,97.482,6.1653,0
0.077367,0.79631,0.96451,-37.484,0.0,0.194,1610.7,0.22661,1.2558,0.1098,1.7038,0.13283,0.15948,0.1265,0.18588,4.8167,4.1125,0.057944,2.6966,0.12723,2.2745,1.7252,0.40782,0.013818,0.13044,0.0584,0.39937,0.62223,32.929,0.06218,0.26357,0.95218,1.0022,6.6055,90.823,5.0087,0
0.13753,0.72488,1.214,-45.122,0.0,0.42091,1365.4,0.26732,1.3795,0.13866,1.2088,0.15241,0.16448,0.14238,0.26576,3.6487,4.3394,0.1202,1.8533,0.15768,1.5011,0.43153,0.67058,0.050968,0.11643,0.10153,0.59988,0.51804,62.291,0.09729,0.24522,0.90934,1.4374,9.7558,80.103,2.5014,0
0.066505,0.8573,1.1505,-14.078,-0.00447,0.091124,3688.1,0.098966,1.1665,0.076485,1.1478,0.064328,0.15165,0.062035,0.087324,46.711,4.2836,0.018738,4.685,0.065343,4.0818,124.96,0.14819,0.060043,0.39315,0.01576,0.23738,0.81671,25.46,0.05597,0.20898,0.98106,0.038442,6.4269,75.056,118.9,0
0.01944,0.78972,0.79059,-42.94,0.0,0.028426,6152.2,0.059328,1.2663,0.01944,1.1198,0.019784,0.038228,0.019633,0.059328,1.5218,4.3198,0.016263,2.4978,0.01492,1.9875,5.2856,0.29739,0.064765,0.55775,0.009954,0.24231,0.67328,14.845,-0.007629,0.34669,0.99031,0.41427,4.776,125.59,4.3268,0
0.32596,0.38015,1.4883,-23.847,0.0,1.1252,360.63,1.0121,2.6305,0.32596,10.369249164322722,0.34448,0.32596,0.48279,1.0121,18.388,3.2652,0.11929,6.6467,0.32861,2.8553,1.4471,0.7103,0.034729,0.031422,0.12064,1.0856,0.45182,43.374,0.28568,0.11466,0.88651,0.14592,23.631,37.033,5.0195,0
0.002813,0.1579,7.8027,183.71,-0.14613,0.076206,2494.9,0.1463,6.3331,0.007652,0.91147,0.009279,0.084071,0.81735,0.11566,0.71399,3.6634,0.007151,6.9864,-0.029213,1.0739,3.4383,0.8421,3.5926,0.21285,0.00864,0.02216,6.5384,42.001,-0.006171,0.091018,0.9932,0.0,3.6309,34.125,4.6381,0
0.25233,0.19382,5.5098,72.108,0.0,2.1978,136.19,2.6801,5.1595,0.317,1.0577,0.30529,0.76397,0.25233,2.3464,72.899,3.3966,0.1126,13.232,0.26877,2.8333,3.4383,0.80618,1.443,0.012724,0.10775,1.4888,4.3347,24.123,0.10284,0.056242,0.89081,0.0,6.7932,18.581,13.802,0
0.019519,0.18964,3.6348,7.7421,0.032045,0.14286,905.69,0.40301,5.2732,0.027091,0.75894,0.036497,0.047101,0.81036,0.36308,0.49126,4.2804,0.035237,0.19245,0.036497,0.79011,3.4383,0.81036,0.75441,0.072639,0.047471,0.044126,1.3022,217.33,-0.012838,0.25526,0.96631,0.0,7.4005,90.031,2.4745,0
0.038417,0.54206,2.5975,24.184,0.13517,0.23349,2005.7,0.18199,1.8448,0.0499,1.0689,0.08055,0.1641,0.40717,0.1608,0.60747,4.6627,0.035638,0.1486,0.08055,1.432,0.96491,0.73551,0.41565,0.13783,0.057527,0.16122,1.4825,65.594,0.031803,0.16117,0.947,0.80641,6.1414,55.71,3.1473,0
0.093926,0.62108,0.48566,-34.97,0.30157,0.22039,1407.5,0.25932,1.6101,0.093926,0.93522,0.10935,0.32316,0.36069,0.25932,0.3682,3.8889,0.030581,0.17607,0.10935,3.0875,0.73997,0.55558,0.023037,0.1157,0.035604,1.4963,0.33837,7.7145,0.042221,0.1435,0.96697,0.54032,22.854,50.647,3.8731,0
0.19596,0.4308,1.7087,-6.6522,0.4041,0.77413,512.95,0.71158,2.3213,0.246,1.045,0.25543,0.50517,0.5584,0.59542,1.674,4.0491,0.13845,0.59293,0.25543,1.7945,2.5736,0.67143,0.23398,0.044823,0.14376,0.77737,0.9154,60.299,0.19489,0.20826,0.85874,0.20241,8.2058,65.276,3.8877,0
0.29595,0.63927,1.4225,-18.716,0.0,0.57191,593.73,0.61476,1.5643,0.3656,10.369249164322722,0.36407,0.3656,0.32941,0.5058,151.57,3.6043,0.21624,2.1023,0.34675,1.6907,3.4383,0.36073,0.70948,0.054434,0.21533,0.87542,0.89372,91.813,0.33667,0.47566,0.78646,0.0,14.355,138.01,18.66,0
0.10231,0.42494,1.9618,-8.5169,0.0,0.27379,1168.1,0.31246,2.3533,0.10231,1.5354,0.0,0.061997,0.56235,0.31246,0.0,3.5948,0.086353,5.1157,0.004752,2.596,6.4231,0.62631,0.021074,0.46495,0.0,0.25329,0.88086,67.821,-0.030465,0.1719,0.8597,0.089117,8.08,52.54,9.7265,0
-0.045045,0.33966,2.3402,-21.223,0.024521,-0.13147,-6221.2,-0.05867,2.9441,-0.044656,1.06,-0.03559,0.04424,0.65105,-0.059817,-0.1465,4.0871,-0.018648,-0.10478,-0.03559,2.3965,3.4383,0.65105,0.093346,-1.0281,-0.014862,-0.076031,0.59596,89.015,-0.060317,0.13982,1.0145,0.0,14.027,51.771,11.675,0
0.105,0.68183,1.1216,-1.2871,-0.15699,0.17488,1404.1,0.25995,1.4666,0.11922,10.369249164322722,0.11984,0.11922,-0.051984,0.23909,195.22,3.1129,0.029192,5.8347,0.11376,4.092,3.4383,0.31817,0.16307,0.12779,0.029285,1.1832,0.99144,8.142,0.061818,0.17137,0.971,0.0,7.2459,60.81,17.387,0
0.006107,0.64578,1.7525,-22.189,0.0,0.013473,11208.0,0.032566,1.5485,0.006107,0.98891,0.018972,0.15695,0.35022,0.032566,0.71459,5.0972,0.016887,2.9015,0.02984,1.9036,1.9191,0.53094,0.037559,0.63508,0.009966,0.013415,0.74823,88.674,0.004048,0.2419,0.99683,0.49891,5.9096,86.909,9.2565,0
0.39115,0.30123,2.2703,66.547,0.39115,1.6737,209.24,1.7444,3.3197,0.47816,10.369249164322722,0.48599,0.47816,0.57389,1.4556,3.007,4.1515,0.22592,1.6133,0.48599,2.149,37.118,0.58943,1.776,0.01857,0.22961,5.4741,2.0202,16.137,0.43867,0.17676,0.76359,0.027094,30.331,49.266,6.0232,0
0.055052,0.78488,1.5831,-1448.4,0.0,0.20234,2364.6,0.15436,1.2741,0.070153,10.369249164322722,0.077488,0.070153,0.17627,0.13512,7.3388,4.4105,0.043529,2.1726,0.07093,1.7738,0.69232,0.5909,0.35243,0.20362,0.043685,0.19068,0.75039,61.798,0.026487,0.20332,0.9673,1.7468,12.856,71.342,3.9319,0
0.09629,0.47727,1.2681,-26.868,0.0,0.4357,856.23,0.42629,2.0952,0.11533,1.3597,0.13441,0.17126,0.51439,0.3864,7.0421,4.1581,0.12275,2.0167,0.12795,1.0905,0.9948,0.72765,0.06125,0.071488,0.12326,0.73061,0.77019,49.979,0.046283,0.275,0.89494,0.39203,5.8112,88.597,1.6414,0
0.77411,0.29447,2.0191,41.04,0.0,2.9175,124.35,2.9354,3.3959,0.77411,1.3158,0.78153,1.3656,0.77411,2.9354,98.637,3.521,0.36307,4.598,0.7939,2.1479,22.303,0.72389,0.041047,0.011259,0.36386,6.1364,1.5436,34.007,0.69126,0.19596,0.64201,0.026029,5.3875,45.089,4.6263,0
-0.30505,1.2523,0.71426,-214.91,-0.30505,-0.29829,-1620.6,-0.22523,0.79852,-0.30505,10.369249164322722,-0.33399,-0.30505,-0.31738,-0.22523,-3.0867,4.5134,-0.36596,-0.2667,-0.33399,0.87221,1.7147,-0.087747,0.036354,-0.13239,-0.40068,-0.90598,0.38501,113.58,-0.35698,0.94515,1.2981,-0.72353,2.3377,447.81,3.0925,0
0.079835,0.37684,1.0693,-40.334,0.1989,0.26997,655.4,0.55691,2.6537,0.079835,1.1499,0.11081,0.1989,0.57853,0.55691,0.72931,4.2245,0.049286,0.29407,0.11081,1.6341,1.7755,0.65966,0.036586,0.051441,0.068411,0.46365,0.48706,41.363,-0.019213,0.19462,0.93803,0.14022,12.16,66.634,2.3689,0
0.15732,0.31131,2.6054,63.108,0.38634,0.69562,454.96,0.80226,3.2123,0.19777,1.1971,0.20945,0.4885,0.66248,0.6723,2.0259,4.759,0.15896,0.6728,0.20945,1.2493,17.042,0.68947,0.03624,0.03915,0.16835,0.56049,1.6182,99.09,0.15747,0.275,0.12657,0.04075,2.7662,83.409,4.7989,0
0.1361,0.48854,1.528,-31.174,0.19815,0.60159,704.16,0.51835,2.0469,0.16929,1.2909,0.15539,0.24608,0.50919,0.45041,1.4662,4.2858,0.14063,0.31806,0.15539,1.2362,1.0143,0.71632,0.18506,0.067111,0.12908,0.619,0.74663,75.726,0.071444,0.26553,0.88035,0.4068,7.6178,85.322,2.1119,0
0.020554,0.79137,0.69349,-62.142,0.061745,0.073398,2009.3,0.18165,1.2636,0.032871,1.0817,0.039422,0.082809,0.17388,0.16609,0.30549,4.6316,0.025225,0.049814,0.039422,1.3856,0.79374,0.51741,0.21287,0.1731,0.030252,0.5422,0.60884,10.722,-0.071463,0.34705,0.99028,1.9756,7.3484,125.44,1.8902,0
0.19238,0.77594,1.1143,-24.64,0.000706,0.32917,957.89,0.38104,1.2888,0.24554,1.1906,0.20126,0.36528,0.21392,0.31253,89.087,4.1314,0.07225,4.1032,0.21538,3.3992,24.643,0.24624,0.097741,0.10289,0.059207,0.67626,0.73292,32.613,0.15113,0.2343,0.92892,0.099017,7.1741,80.1,20.138,0
0.080272,1.2349,1.0162,-9.604,-0.33103,0.089194,3850.2,0.094799,0.8098,0.085123,0.89647,0.10492,0.10504,-0.25075,0.090871,4.679,3.498,0.035863,2.5045,-0.11823,2.9745,3.229,0.039687,0.081902,0.30075,0.035275,0.96381,0.92895,9.8295,0.072981,0.30859,0.97343,-1.169,3.6795,117.11,98.632,0
0.10756,0.34974,2.1799,55.534,0.088721,0.40831,816.45,0.44706,2.8593,0.10756,10.369249164322722,0.1134,0.10756,0.19628,0.44706,13.57,3.4409,0.07895,4.1948,0.001113,1.4682,6.1367,0.72997,0.89455,0.071877,0.077237,1.2636,1.8568,21.178,0.064603,0.17955,0.93239,0.12257,5.7924,65.487,3.4483,0
0.51575,0.56569,1.7207,78.169,0.0,0.91172,393.69,0.92712,1.7678,0.51575,1.2628,0.5073,0.87274,0.51575,0.92712,1.2864499999999999,3.5916,0.22809,3.101,0.50704,2.2612,3.4383,0.43431,0.59393,0.036543,0.22435,20.763,1.6768,5.1686,0.49859,0.32248,0.77281,0.0,3.6915,91.312,84.904,0
0.0234,0.81173,1.5767,21.447,-0.014434,0.080185,8180.0,0.044621,1.2319,0.029496,1.8078,0.051282,0.046788,0.008965,0.037111,2.0,4.0474,0.022761,1.6416,0.053972,1.3865,1.0424,0.62812,0.52693,0.46646,0.036987,0.19262,1.2464,33.276,0.044558,0.27605,0.97881,2.3362,5.2388,96.838,3.301,0
0.25541,0.22741,2.1709,11.976,0.51135,1.1535,246.74,1.4793,4.3974,0.25541,1.1892,0.26487,0.51135,0.72998,1.4793,1.6073,4.2795,0.13477,1.1647,0.26487,1.9129,45.939,0.73597,0.020883,0.021617,0.13976,1.2429,1.2428,45.514,0.18388,0.13436,0.86956,0.008206,7.005,42.644,3.6492,0
0.21861,0.45575,2.1033,-14.112,-0.001252,0.61142,582.02,0.62713,2.1942,0.27866,1.3212,0.26886,0.51372,0.53734,0.49538,20.326,3.8597,0.15106,3.5824,0.28457,1.9173,3.4383,0.54425,0.14009,0.055038,0.14023,0.39612,0.89237,123.38,0.2617,0.27914,0.85694,0.0,5.5921,86.765,46.286,0
0.059192,0.65621,0.99573,-134.17,0.14235,0.095569,2654.6,0.1375,1.5239,0.062463,1.2651,0.083444,0.17143,0.34379,0.13251,0.54385,5.096,0.038995,0.12716,0.083444,1.6178,43.92,0.34641,0.046319,0.194,0.052094,0.1105,0.17617,127.43,0.05568,0.42598,0.95787,0.007626,18.873,148.93,4.5871,0
0.016304,0.60563,0.94438,-10.798,0.063086,0.030749,3433.7,0.1063,1.6512,0.016304,1.1298,0.038802,0.063086,0.38399,0.1063,0.096511,4.4957,0.004013,0.064068,0.038802,4.0756,5.5005,0.45939,0.049901,0.22919,0.00955,0.18958,0.78219,7.8075,-0.009273,0.13188,0.98953,0.19636,10.464,47.633,8.1381,0
0.092592,0.72434,1.6114,-202.82,0.0,0.19948,575.91,0.63378,1.3806,0.092592,0.99525,0.0,0.22942,0.26662,0.63378,1.2864499999999999,3.7429,0.12936,0.73012,0.070408,1.5911,1.4905,0.53582,0.032452,0.065883,0.0,0.25706,0.83537,248.6,-0.36648,0.8777,0.34697,0.94378,4.2693,106.48,6.3131,0
0.19673,0.11913,6.5773,850.65,0.67681,2.0744,175.96,2.0744,8.3945,0.24711,1.0003,0.24339,0.48207,0.87354,1.6514,12905.0,3.1558,0.048501,40.885,0.22493,5.0954,3.4383,0.88087,1.2474,0.016315,0.047767,4.0803,6.1725,3.6133,0.24339,0.024459,0.95586,0.0,8.6846,8.5334,23.538,0
0.03504,0.39596,1.9768,-0.56055,0.0,0.20471,1674.5,0.21798,2.5255,0.043947,1.3221,0.029194,0.095857,0.54753,0.19548,6.2588,5.6223,0.049396,2.2277,0.020502,0.93069,1.2689,0.78532,0.077609,0.18445,0.032815,0.1803,1.0715,80.419,-0.01317,0.24338,0.74447,0.30012,4.1696,88.075,1.5456,0
0.030259,0.28546,1.3506,-29.907,0.0,0.13112,1493.2,0.24445,3.5031,0.03743,10.369249164322722,0.043199,0.03743,0.66732,0.21932,4.7542,3.2801,0.016714,7.6953,0.042777,2.2395,3.4383,0.71454,0.01075,0.12595,0.01929,0.10812,0.37013,46.504,0.01085,0.12995,0.98337,0.0,21.83,46.525,3.6446,0
